;Equipment Type;Equipment Category;Equipment Model;Action ID & Types;Action Type;Number of IDs;Source Link Original;Source Link Final;Equipment Producer;Impacted Country;Attempt;Recognized Text;Event Date
0;Battle;Aircraft;An-26 Transport Aircraft;1, destroyed;Destroyed;1;https://i.postimg.cc/R0ppMFNQ/448.png;https://i.postimg.cc/R0ppMFNQ/448.png;USSR;Russian Federation;Pic 2890: attempt 1;24/02/2022;2022-02-24
1;Battle;Aircraft;Su-25 Close Air Support Aircraft;1, destroyed;Destroyed;1;https://i.postimg.cc/L6456Fm4/38.png;https://i.postimg.cc/L6456Fm4/38.png;USSR;Russian Federation;Pic (meta) 2055: attempt 6;Tue, 05 Apr 2022 12:43:06 GMT;2022-04-05
2;Battle;Aircraft;Su-25 Close Air Support Aircraft;2, destroyed;Destroyed;1;https://i.postimg.cc/Mp371YRh/675.png;https://i.postimg.cc/Mp371YRh/675.png;USSR;Russian Federation;Pic 1949: attempt 1;02/3/2022;2022-03-02
3;Battle;Aircraft;Su-25 Close Air Support Aircraft;3, destroyed;Destroyed;1;https://i.postimg.cc/VNx7Xd0x/n86.png;https://i.postimg.cc/VNx7Xd0x/n86.png;USSR;Russian Federation;Pic 880: attempt 1;04/3/2022;2022-03-04
4;Battle;Aircraft;Su-25 Close Air Support Aircraft;4, destroyed;Destroyed;1;https://i.postimg.cc/SsTkvvtc/46.png;https://i.postimg.cc/SsTkvvtc/46.png;USSR;Russian Federation;Pic 1608: attempt 1;04/3/2022;2022-03-04
5;Battle;Aircraft;Su-25 Close Air Support Aircraft;5, destroyed;Destroyed;1;https://i.postimg.cc/zBCBJNs4/360.png;https://i.postimg.cc/zBCBJNs4/360.png;USSR;Russian Federation;Pic 753: attempt 1;10/3/2022;2022-03-10
6;Battle;Aircraft;Su-25 Close Air Support Aircraft;6, destroyed;Destroyed;1;https://i.postimg.cc/RCjcz7sM/h7.jpg;https://i.postimg.cc/RCjcz7sM/h7.jpg;USSR;Russian Federation;Pic (meta) 1165: attempt 6;Sun, 20 Mar 2022 00:15:15 GMT;2022-03-20
7;Battle;Aircraft;Su-25 Close Air Support Aircraft;7, destroyed;Destroyed;1;https://twitter.com/RALee85/status/1507360503546449924;https://twitter.com/RALee85/status/1507360503546449924;USSR;Russian Federation;Tweet 187: attempt 1;3:15 PM · Mar 25, 2022;2022-03-25
8;Battle;Aircraft;Su-25 Close Air Support Aircraft;8, destroyed;Destroyed;1;https://i.postimg.cc/DZ14y78S/316.png;https://i.postimg.cc/DZ14y78S/316.png;USSR;Russian Federation;Pic 1601: attempt 3;"roMancerae@666_mancerBopoHexk,o4epeAHbie""TM6puAHbie""NOXOPOHb!:""3TOTpa3Oru6enuOuLiepaHUBOPOHExLiIaM,HYCMUHeCOO6LMN40NOXOpOH"".3am.KOM.aBuanonkaNognonkoBHukOnerYepBos,AeTaBLuNiAHawTypmosukeCy-25uvotmetaBuuuiica07/03/22,ApyroroHe3acnyxunkommersant.ru/doc/5259847#rpy3200#noTepbHeTTranslatedfromRussianbyGoogleVoronezh,another""hybrid""funeral:""thistime,neitherVoronezhnorthemediawereinformedaboutthedeathofanofficerbeforethefuneral.""Deputycom.airregimentlieutenantcolonelOlegChervov,whoflewontheSu-25attackaircraftandflewoffon03/07/22,didnotdeserveanotherkommersant.ru/doc/5259847#rpy3200#notepbHeTBa7,wy23A|-|mes4hy";2022-03-07
9;Battle;Aircraft;Su-25 Close Air Support Aircraft;9, damaged;Damaged;1;https://i.postimg.cc/zBVmRBJ2/h9.png;https://i.postimg.cc/zBVmRBJ2/h9.png;USSR;Russian Federation;Pic 44: attempt 1;be14/3/2022;2022-03-14
