;Equipment Type;Equipment Category;Equipment Model;Action ID & Types;Action Type;Number of IDs;Source Link Original;Source Link Final;Equipment Producer;Impacted Country;Attempt;Recognized Text;Event Date
0;Battle;Aircraft;An-26 Transport Aircraft;1, destroyed;Destroyed;1;https://i.postimg.cc/rmdB2PLQ/489.png;https://i.postimg.cc/rmdB2PLQ/489.png;USSR;Ukraine;Pic 59: attempt 1;24/02/2022oe;2022-02-24
1;Battle;Aircraft;An-26 Transport Aircraft;2, destroyed;Destroyed;1;https://i.postimg.cc/qMX7RHPS/477.png;https://i.postimg.cc/qMX7RHPS/477.png;USSR;Ukraine;Pic 573: attempt 1;22/4/2022;2022-04-22
2;Battle;Aircraft;Il-76 Transport Aircraft;1, destroyed on the ground;Destroyed;1;https://twitter.com/Gerjon_/status/1511286171145494531;https://twitter.com/Gerjon_/status/1511286171145494531;USSR;Ukraine;Tweet 19: attempt 1;12:14 PM · Apr 5, 2022;2022-04-05
3;Battle;Aircraft;Mig-29 Fighter Aircraft;1, destroyed;Destroyed;1;https://i.postimg.cc/XYtgd1XH/g68.png;https://i.postimg.cc/XYtgd1XH/g68.png;USSR;Ukraine;Pic 13: attempt 1;24/02/2022menyMb;2022-02-24
4;Battle;Aircraft;Mig-29 Fighter Aircraft;2, destroyed;Destroyed;1;https://i.postimg.cc/YC8Hy5QZ/577.png;https://i.postimg.cc/YC8Hy5QZ/577.png;USSR;Ukraine;Pic 353: attempt 1;ita)xI<RANEshotdown=»ieeneon02/3/2022;2022-03-02
5;Battle;Aircraft;Mig-29 Fighter Aircraft;3, destroyed;Destroyed;1;https://i.postimg.cc/k5bY36V0/4f114.png;https://i.postimg.cc/k5bY36V0/4f114.png;USSR;Ukraine;Pic (meta) 27: attempt 6;Wed, 16 Mar 2022 01:03:52 GMT;2022-03-16
6;Battle;Aircraft;Mig-29 Fighter Aircraft;4, destroyed;Destroyed;1;https://i.postimg.cc/nLCsDSBB/542.png;https://i.postimg.cc/nLCsDSBB/542.png;USSR;Ukraine;Pic 711: attempt 1;16/3/2022;2022-03-16
7;Battle;Aircraft;Mig-29 Fighter Aircraft;5, destroyed;Destroyed;1;https://i.postimg.cc/nVsqVZzK/4388.png;https://i.postimg.cc/nVsqVZzK/4388.png;USSR;Ukraine;Pic (meta) 60: attempt 6;Tue, 05 Apr 2022 12:33:17 GMT;2022-04-05
8;Battle;Aircraft;Su-24M Strike Aircraft;1, destroyed;Destroyed;1;https://i.postimg.cc/L85FXF1d/7999.png;https://i.postimg.cc/L85FXF1d/7999.png;USSR;Ukraine;Pic (meta) 603: attempt 6;Tue, 12 Apr 2022 16:09:50 GMT;2022-04-12
9;Battle;Aircraft;Su-24M Strike Aircraft;2, destroyed;Destroyed;1;https://i.postimg.cc/nVQQVmKN/398.png;https://i.postimg.cc/nVQQVmKN/398.png;USSR;Ukraine;Pic 230: attempt 1;03/4/2022;2022-04-03
